,SPY.Adjusted,F.Adjusted,SPYRet,Fret,Portret
108,183,15.08,0.004721643,0.010046885,0.007384264
109,181.25,15.09,-0.009562842,0.00066313,-0.004449856
110,181.22,15.16,-0.000165517,0.004638834,0.002236658
111,180.69,15.23,-0.002924622,0.004617414,0.000846396
112,181.8,15.03,0.006143118,-0.013131976,-0.003494429
113,181.84,15.19,0.000220022,0.010645376,0.005432699
114,181.96,15.48,0.000659921,0.019091508,0.009875714
115,182.46,15.71,0.002747857,0.014857881,0.008802869
116,180.03,15.75,-0.013317988,0.002546149,-0.005385919
117,181.99,16.03,0.010887074,0.017777778,0.014332426
118,182.97,16.32,0.005384911,0.018091079,0.011737995
119,182.73,16.35,-0.00131169,0.001838235,0.000263272
120,181.96,16.15,-0.004213867,-0.012232416,-0.008223142
121,182.5,16.04,0.002967685,-0.006811146,-0.00192173
122,182.62,16.18,0.000657534,0.00872818,0.004692857
123,181.12,16.06,-0.008213777,-0.007416564,-0.00781517
124,177.25,15.47,-0.021367049,-0.036737235,-0.029052142
125,176.38,15.35,-0.004908322,-0.007756949,-0.006332635
126,177.43,15.36,0.005953056,0.000651466,0.003302261
127,175.73,15.03,-0.009581243,-0.021484375,-0.015532809
128,177.59,15.02,0.010584419,-0.000665336,0.004959542
129,176.55,14.74,-0.005856186,-0.018641811,-0.012248998
130,172.58,14.33,-0.022486548,-0.027815468,-0.025151008
131,173.79,14.65,0.007011241,0.022330775,0.014671008
132,173.57,14.51,-0.001265896,-0.009556314,-0.005411105
133,175.86,14.63,0.013193524,0.008270159,0.010731841
134,178.04,14.75,0.012396224,0.008202324,0.010299274
135,178.36,14.62,0.001797349,-0.008813559,-0.003508105
136,180.32,14.74,0.010989011,0.008207934,0.009598473
137,180.41,14.78,0.000499113,0.002713704,0.001606408
138,181.34,14.86,0.005154925,0.00541272,0.005283822
139,182.34,15.01,0.005514503,0.010094213,0.007804358
140,182.56,15.16,0.001206537,0.009993338,0.005599938
141,181.35,15.02,-0.006627958,-0.009234828,-0.007931393
142,182.42,15.04,0.005900193,0.001331558,0.003615875
143,182.21,14.94,-0.00115119,-0.006648936,-0.003900063
144,183.22,14.96,0.005543055,0.001338688,0.003440871
145,183.15,14.93,-0.000382054,-0.002005348,-0.001193701
146,183.16,15.03,5.46001E-05,0.006697924,0.003376262
147,184.12,15.16,0.005241319,0.008649368,0.006945343
148,184.59,15.16,0.002552683,0,0.001276342
149,183.29,14.97,-0.007042635,-0.012532982,-0.009787808
150,185.87,15.14,0.014076054,0.011356045,0.01271605
151,186.03,15.4,0.000860817,0.017173052,0.009016934
152,186.46,15.44,0.002311455,0.002597403,0.002454429
153,186.54,15.39,0.000429046,-0.003238342,-0.001404648
154,186.44,15.28,-0.000536078,-0.007147498,-0.003841788
155,185.52,15.07,-0.004934563,-0.013743455,-0.009339009
156,185.57,15.17,0.000269513,0.0066357,0.003452606
157,183.49,14.96,-0.011208708,-0.013843111,-0.01252591
158,182.97,14.86,-0.002833942,-0.006684492,-0.004759217
159,184.63,15.05,0.009072526,0.012786003,0.010929264
160,185.94,15.26,0.007095272,0.013953488,0.01052438
161,184.95,15.25,-0.005324298,-0.000655308,-0.002989803
162,186.03,15.32,0.005839416,0.004590164,0.00521479
163,185.31,15.24,-0.003870343,-0.005221932,-0.004546138
164,184.55,15.16,-0.004101236,-0.005249344,-0.00467529
165,185.42,15.1,0.00471417,-0.003957784,0.000378193
166,184.09,15.02,-0.007172905,-0.005298013,-0.006235459
167,183.7,15.02,-0.002118529,0,-0.001059264
168,184.61,15.22,0.004953729,0.013315579,0.009134654
169,186.12,15.37,0.008179405,0.009855453,0.009017429
170,187.35,16.08,0.00660864,0.046193884,0.026401262
171,187.98,16.22,0.00336269,0.008706468,0.006034579
172,187.73,16.15,-0.001329929,-0.00431566,-0.002822794
173,185.51,15.89,-0.011825494,-0.016099071,-0.013962283
174,183.46,15.7,-0.011050617,-0.011957206,-0.011503912
175,184.22,15.86,0.004142592,0.010191083,0.007166838
176,186.2,15.61,0.010748019,-0.015762926,-0.002507453
177,182.29,15.4,-0.020998926,-0.013452915,-0.01722592
178,180.64,15.4,-0.009051511,0,-0.004525756
179,182.07,15.47,0.007916298,0.004545455,0.006230876
180,183.32,15.61,0.006865491,0.009049774,0.007957633
181,185.24,15.83,0.010473489,0.01409353,0.012283509
182,185.5,15.76,0.001403585,-0.004421984,-0.0015092
183,186.15,15.74,0.003504043,-0.001269036,0.001117504
184,186.99,15.86,0.00451249,0.007623888,0.006068189
185,186.56,15.99,-0.002299588,0.008196721,0.002948567
186,186.93,16.08,0.001983276,0.005628518,0.003805897
187,185.4,15.55,-0.008184882,-0.032960199,-0.020572541
188,185.99,15.73,0.003182309,0.011575563,0.007378936
189,186.85,15.88,0.004623905,0.009535919,0.007079912
190,187.41,16.04,0.002997056,0.010075567,0.006536312
191,187.43,15.8,0.000106718,-0.014962594,-0.007427938
192,187.16,15.79,-0.001440538,-0.000632911,-0.001036725
193,187.52,15.63,0.001923488,-0.010132996,-0.004104754
194,185.89,15.45,-0.008692406,-0.011516315,-0.01010436
195,186.98,15.35,0.005863683,-0.006472492,-0.000304405
196,186.78,15.7,-0.001069633,0.022801303,0.010865835
197,187.06,15.66,0.00149909,-0.002547771,-0.00052434
198,188.88,15.73,0.009729499,0.004469987,0.007099743
199,189.05,15.75,0.000900042,0.001271456,0.001085749
200,188.16,15.64,-0.004707749,-0.006984127,-0.005845938
201,186.51,15.58,-0.008769133,-0.003836317,-0.006302725
202,187.15,15.65,0.003431451,0.00449294,0.003962196
